고객ID,구매일자,제품분류,구매금액,구매채널,할인율,할인금액,고객명,가입지역
C001,2025-09-01,가전,1200000,온라인,0.1,120000.0,김민준,서울
C002,2025-09-01,주방용품,45000,오프라인,0.05,2250.0,이서연,부산
C003,2025-09-02,식료품,12000,온라인,0.0,0.0,박도윤,인천
C001,2025-09-02,의류,89000,온라인,0.15,13350.0,김민준,서울
C004,2025-09-03,주방용품,21000,온라인,0.0,0.0,최지우,서울
C002,2025-09-03,가전,2500000,오프라인,0.05,125000.0,이서연,부산
C005,2025-09-04,도서,9900,온라인,0.0,0.0,정하은,광주
C003,2025-09-04,주방용품,62000,오프라인,0.0,0.0,박도윤,인천
C001,2025-09-05,식료품,8500,온라인,0.0,0.0,김민준,서울
C004,2025-09-05,의류,150000,온라인,0.2,30000.0,최지우,서울
